MPI VERSION    : CRAY MPICH version 7.5.0-pre (ANL base 3.2rc1)
MPI BUILD INFO : Built Wed Oct 12 18:54:53 2016 by nradclif (git hash dd31329) MT-G
[1] running inference for 200.0-201.0, 38.0-39.0 with 32 process(es)
[1] 39 RCFs
[11] 401 sources (141 tasks) in RCF 18 (3900, 4, 456)
[10] 426 sources (97 tasks) in RCF 17 (3900, 4, 455)
[12] 390 sources (172 tasks) in RCF 19 (3900, 4, 457)
[3] 581 sources (581 tasks) in RCF 5 (3900, 2, 457)
[4] 583 sources (0 tasks) in RCF 7 (3900, 2, 459)
[7] 421 sources (421 tasks) in RCF 13 (3900, 3, 457)
[2] 484 sources (484 tasks) in RCF 3 (3900, 2, 455)
[9] 450 sources (33 tasks) in RCF 16 (3900, 4, 454)
[25] 447 sources (447 tasks) in RCF 32 (4382, 3, 73)
[8] 491 sources (3 tasks) in RCF 15 (3900, 4, 453)
[6] 491 sources (491 tasks) in RCF 11 (3900, 3, 455)
[1] 475 sources (216 tasks) in RCF 1 (3900, 2, 453)
[26] 416 sources (340 tasks) in RCF 33 (4382, 3, 74)
[22] 460 sources (457 tasks) in RCF 29 (4382, 3, 70)
[13] 410 sources (0 tasks) in RCF 20 (3900, 4, 458)
[5] 513 sources (484 tasks) in RCF 9 (3900, 3, 453)
[27] 479 sources (235 tasks) in RCF 34 (4382, 1, 70)
[23] 395 sources (395 tasks) in RCF 30 (4382, 3, 71)
[21] 399 sources (185 tasks) in RCF 28 (4382, 3, 69)
[24] 416 sources (416 tasks) in RCF 31 (4382, 3, 72)
[19] 429 sources (429 tasks) in RCF 26 (4382, 2, 74)
[30] 418 sources (172 tasks) in RCF 37 (4382, 1, 73)
[28] 389 sources (281 tasks) in RCF 35 (4382, 1, 71)
[31] 444 sources (167 tasks) in RCF 38 (4382, 1, 74)
[14] 483 sources (14 tasks) in RCF 21 (4382, 2, 69)
[20] 418 sources (150 tasks) in RCF 27 (4382, 2, 75)
[32] 478 sources (71 tasks) in RCF 39 (4382, 1, 75)
[18] 479 sources (479 tasks) in RCF 25 (4382, 2, 73)
[15] 529 sources (505 tasks) in RCF 22 (4382, 2, 70)
[17] 483 sources (483 tasks) in RCF 24 (4382, 2, 72)
[16] 581 sources (581 tasks) in RCF 23 (4382, 2, 71)
[29] 360 sources (212 tasks) in RCF 36 (4382, 1, 72)
[3] 508 sources (434 tasks) in RCF 6 (3900, 2, 458)
[4] 431 sources (2 tasks) in RCF 8 (3900, 3, 452)
[2] 438 sources (438 tasks) in RCF 4 (3900, 2, 456)
[7] 419 sources (157 tasks) in RCF 14 (3900, 3, 458)
[6] 446 sources (446 tasks) in RCF 12 (3900, 3, 456)
[1] 487 sources (487 tasks) in RCF 2 (3900, 2, 454)
[5] 514 sources (514 tasks) in RCF 10 (3900, 3, 454)
[1] catalog size is 17862, 11620 tasks
[9] dtree: initial work: 145 (1161-1305)
[2] dtree: initial work: 145 (146-290)
[17] dtree: initial work: 145 (2321-2465)
[10] dtree: initial work: 145 (1306-1450)
[3] dtree: initial work: 145 (291-435)
[18] dtree: initial work: 145 (2466-2610)
[11] dtree: initial work: 145 (1451-1595)
[25] dtree: initial work: 145 (3481-3625)
[4] dtree: initial work: 145 (436-580)
[19] dtree: initial work: 145 (2611-2755)
[12] dtree: initial work: 145 (1596-1740)
[26] dtree: initial work: 145 (3626-3770)
[6] dtree: initial work: 145 (726-870)
[20] dtree: initial work: 145 (2756-2900)
[13] dtree: initial work: 145 (1741-1885)
[27] dtree: initial work: 145 (3771-3915)
[7] dtree: initial work: 145 (871-1015)
[21] dtree: initial work: 145 (2901-3045)
[14] dtree: initial work: 145 (1886-2030)
[28] dtree: initial work: 145 (3916-4060)
[8] dtree: initial work: 145 (1016-1160)
[22] dtree: initial work: 145 (3046-3190)
[15] dtree: initial work: 145 (2031-2175)
[29] dtree: initial work: 145 (4061-4205)
[1] dtree: initial work: 145 (1-145)
[23] dtree: initial work: 145 (3191-3335)
[16] dtree: initial work: 145 (2176-2320)
[30] dtree: initial work: 145 (4206-4350)
[5] dtree: initial work: 145 (581-725)
[24] dtree: initial work: 145 (3336-3480)
[31] dtree: initial work: 145 (4351-4495)
[32] dtree: initial work: 145 (4496-4640)
[1]<1> dtree: running tree
[18]<1> 1237662224072966727: 10.643 secs
[18]<2> 1237662224072966731: 10.643 secs
[18]<3> 1237662224072966730: 10.545 secs
[20]<1> 1237662224609509666: 10.515 secs
[20]<4> 1237662224609509668: 10.515 secs
[27]<2> 1237662224609640696: 11.026 secs
[27]<3> 1237662224609640691: 11.026 secs
[27]<1> 1237662224609640690: 11.026 secs
[27]<4> 1237662224609640695: 11.026 secs
[18]<4> 1237662224072966729: 10.844 secs
[4]<3> 1237662224072704481: 10.88 secs
[4]<4> 1237662224072704475: 10.88 secs
[4]<1> 1237662224072704472: 10.886 secs
[20]<3> 1237662224609509669: 10.67 secs
[4]<2> 1237662224072704476: 11.004 secs
[20]<2> 1237662224609509667: 10.73 secs
[10]<4> 1237662224072835382: 11.354 secs
[10]<1> 1237662224072835372: 11.354 secs
[24]<1> 1237662224609575407: 11.187 secs
[24]<4> 1237662224609575405: 11.187 secs
[28]<4> 1237662224609640976: 11.718 secs
[28]<1> 1237662224609640975: 11.718 secs
[28]<2> 1237662224609640964: 11.718 secs
[10]<3> 1237662224072835375: 11.402 secs
[32]<4> 1237662224609706852: 11.273 secs
[19]<2> 1237662224072967152: 11.708 secs
[19]<4> 1237662224072967151: 11.708 secs
[3]<3> 1237662224072704190: 11.791 secs
[3]<4> 1237662224072704188: 11.791 secs
[6]<4> 1237662224072769601: 11.396 secs
[6]<2> 1237662224072769606: 11.396 secs
[31]<2> 1237662224609706557: 11.672 secs
[31]<1> 1237662224609706551: 11.672 secs
[26]<2> 1237662224609576010: 11.898 secs
[26]<1> 1237662224609576008: 11.898 secs
[23]<3> 1237662224609575093: 11.497 secs
[23]<4> 1237662224609575090: 11.107 secs
[23]<1> 1237662224609575091: 11.496 secs
[23]<2> 1237662224609575095: 11.107 secs
[3]<1> 1237662224072704181: 11.944 secs
[16]<1> 1237662224072901845: 11.402 secs
[19]<3> 1237662224072967153: 11.905 secs
[31]<4> 1237662224609706560: 11.815 secs
[14]<1> 1237662224072901176: 11.743 secs
[24]<2> 1237662224609575401: 11.77 secs
[14]<4> 1237662224072901180: 11.857 secs
[7]<1> 1237662224072769927: 11.434 secs
[7]<3> 1237662224072769930: 11.434 secs
[29]<2> 1237662224609641268: 11.774 secs
[29]<3> 1237662224609641267: 11.776 secs
[29]<1> 1237662224609641270: 11.776 secs
[24]<3> 1237662224609575406: 11.906 secs
[28]<3> 1237662224609640966: 12.268 secs
[14]<2> 1237662224072901179: 12.059 secs
[2]<1> 1237662224072639208: 12.192 secs
[2]<2> 1237662224072639203: 12.19 secs
[31]<3> 1237662224609706558: 12.244 secs
[3]<2> 1237662224072704182: 12.462 secs
[32]<2> 1237662224609706851: 11.956 secs
[21]<2> 1237662224609509979: 12.144 secs
[21]<3> 1237662224609509980: 12.144 secs
[14]<3> 1237662224072901178: 12.194 secs
[12]<1> 1237662224072836031: 12.27 secs
[26]<4> 1237662224609576009: 12.655 secs
[11]<4> 1237662224072835665: 12.186 secs
[11]<2> 1237662224072835667: 12.186 secs
[7]<4> 1237662224072769932: 12.42 secs
[21]<4> 1237662224609509977: 12.5 secs
[21]<1> 1237662224609509982: 12.523 secs
[17]<2> 1237662224072966468: 12.237 secs
[17]<4> 1237662224072966463: 12.238 secs
[17]<1> 1237662224072966461: 12.335 secs
[19]<1> 1237662224072967150: 12.831 secs
[9]<4> 1237662224072770569: 12.759 secs
[12]<4> 1237662224072836034: 12.688 secs
[7]<2> 1237662224072769926: 12.607 secs
[30]<2> 1237662224609706203: 12.621 secs
[2]<4> 1237662224072639206: 12.541 secs
[30]<4> 1237662224609706205: 12.808 secs
[4]<1> 1237662224072704488: 2.027 secs
[10]<2> 1237662224072835369: 12.675 secs
[30]<1> 1237662224609706195: 12.934 secs
[11]<1> 1237662224072835659: 12.737 secs
[4]<3> 1237662224072704486: 2.271 secs
[4]<4> 1237662224072704487: 2.311 secs
[26]<3> 1237662224609576011: 13.536 secs
[16]<2> 1237662224072901848: 12.957 secs
[16]<3> 1237662224072901849: 13.027 secs
[2]<3> 1237662224072639207: 13.449 secs
[5]<4> 1237662224072704788: 12.626 secs
[5]<3> 1237662224072704783: 12.4 secs
[5]<1> 1237662224072704781: 12.401 secs
[5]<2> 1237662224072704787: 12.724 secs
[18]<3> 1237662224072966732: 2.961 secs
